#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-01-16 01:21:28"
#data_read_from_db	"2018-03-01 17:28:53"
#database_id	1472
#datapoints_in_db	128121
#database_reference_id	0
#integrated_value	0.026	6.3
#sample_label	"goldpaper0"
#sample_name	"Golden_glossy_paper"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-wjakob|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=17 poweron=8414 [h] last_change=951 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	26.8421	0
#intheta	26.8421
#inphi	0
#front_integral	0.0263
#incident_and_front_integral	26.8421	0	0.0263
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	127039
#format: theta	phi	[uA]
80.35929	26.86478	5.255e-05
80.32825	26.81641	5.110e-05
80.29594	26.76742	5.669e-05
80.26630	26.72112	5.044e-05
80.23830	26.67833	5.705e-05
80.20652	26.62928	5.609e-05
80.17684	26.58298	6.010e-05
80.14435	26.53328	6.609e-05
80.11406	26.48702	5.689e-05
80.08443	26.44143	5.794e-05
80.05196	26.38807	6.501e-05
80.02213	26.34541	6.147e-05
79.99110	26.29849	6.072e-05
79.96286	26.25497	5.899e-05
79.93227	26.20726	5.978e-05
79.90042	26.15894	6.054e-05
79.86777	26.10923	6.098e-05
79.83656	26.06158	5.665e-05
79.80534	26.01392	6.101e-05
79.77555	25.96833	6.586e-05
79.74497	25.92134	6.178e-05
79.71448	25.87508	6.209e-05
79.68095	25.82397	6.479e-05
79.65031	25.77698	5.863e-05
79.61967	25.72999	5.945e-05
79.58677	25.67955	5.839e-05
79.55776	25.63606	6.338e-05
79.52414	25.58494	6.285e-05
79.49490	25.54001	5.598e-05
79.45996	25.48389	6.161e-05
79.42837	25.43916	6.313e-05
79.39997	25.39634	6.554e-05
79.36784	25.34800	6.712e-05
79.33480	25.29754	6.683e-05
79.29645	25.23878	6.016e-05
79.27172	25.20147	6.309e-05
79.23795	25.15033	6.710e-05
79.20858	25.10539	6.758e-05
79.17635	25.05704	6.654e-05
79.14332	25.00729	5.992e-05
79.11006	24.95610	6.290e-05
79.07779	24.90775	6.746e-05
79.04765	24.86212	6.493e-05
79.01473	24.80942	6.814e-05
78.97997	24.76054	6.458e-05
78.95049	24.71558	6.886e-05
78.91576	24.66304	6.857e-05
78.88339	24.61467	6.679e-05
78.84653	24.55571	6.643e-05
78.81692	24.51441	6.173e-05
78.78747	24.47016	6.349e-05
78.75266	24.41760	6.829e-05
78.72021	24.36922	6.623e-05
78.68834	24.32079	7.024e-05
78.65348	24.26822	6.754e-05
78.62030	24.21915	7.202e-05
78.58839	24.17071	7.050e-05
78.55724	24.12366	6.999e-05
78.51855	24.06555	7.137e-05
78.48521	24.01575	7.565e-05
78.45254	23.96663	6.824e-05
78.42294	23.92236	6.760e-05
78.38802	23.86609	7.056e-05
78.35752	23.82409	7.418e-05
78.32182	23.77081	6.984e-05
78.29125	23.72440	7.344e-05
78.25780	23.67459	7.556e-05
78.21764	23.61143	7.065e-05
78.19006	23.57355	6.928e-05
78.15417	23.51953	7.543e-05
78.12296	23.47316	7.642e-05
78.08932	23.42261	6.702e-05
78.05269	23.36791	7.277e-05
78.02143	23.32153	8.287e-05
77.98247	23.26336	7.860e-05
77.95407	23.22039	6.998e-05
77.91904	23.16478	7.283e-05
